dog breed,breed description
chihuahua,"The Chihuahua is graceful, small and compact; it is slightly longer than it is tall. It has a saucy expression and an alert, terrier-like attitude. It should move out at a swift pace with good reach and drive. Its coat can be smooth, with soft, glossy hair or long, with soft straight or wavy hair and fringed ears.The saucy Chihuahua has earned its place as a favored toy dog because of its intense devotion to a single person. It is reserved with strangers but good with other household dogs and pets. Some try to be protective, but they are not very effective. Some may be quite bold; others may be timid. It is often temperamental. Some bark."
chow,"This distinctive-looking dog breed has a proud, independent spirit that some describe as catlike. He can be aloof if you're looking for a cuddle buddy, this probably isn't the best breed for you and downright suspicious of strangers. But for the right person, he's a fiercely loyal companion."
clumber,"The clumber spaniel is a long, low dog, rectangular in shape and with massive bone. This build, in combination with a deep chest, heavy brow and powerful hindquarters, enables the dog to move through thick underbrush when hunting. The coat is straight, flat, soft and dense, imparting resistance to weather. The white color helps the hunter locate the dog. The clumber tends to hunt close. It moves easily, tending to roll slightly because of its wide body and short legs. The expression is soft.Among the most low-keyed and easygoing of sporting breeds, the clumber spaniel is nonetheless a hunter at heart, ever ready for a day in the field. At home it tends to be quiet and may even need to be goaded into exercise. It is one of the few sporting breeds suitable for city life, although it will relish walks and outings. The clumber makes a good pet, especially devoted to one person."
cocker spaniel,"The Cocker Spaniel is primarily a beloved companion dog breed, though he remains a capable bird dog at heart. Beautiful to look at (and labor-intensive to groom), the Cocker's amenable, cheerful disposition also makes him a treat to have in the family. Never more pleased than when he's pleasing you, he's as happy to snuggle on the couch with his favorite adults as to romp in the yard with the kids."
collie,"The Collie dog breed is a native of Scotland, mostly of the Highland regions but also bred in the Scottish Lowlands and northern England, where she was used primarily as a herding dog. She is a sensitive and intelligent dog, known for her undying loyalty and amazing ability to foresee her owner's needs. She is a great family companion, and is still a capable herding dog."
curly-coated retriever,"The curly is the most graceful and elegant of the retrievers, appearing longer legged and more agile than the others. It has an alert upright carriage, enabling it to mark downed animals easily, be they fur or feather. It is an active land retriever and a hardy water retriever, able to withstand the rigors of repeated retrieves into heavy thickets or cold waters. Its distinctive coat provides protection from cold and briars and is made up of a dense mass of tight curls.The curly-coated retriever is an eager and tireless land and, especially, water retriever outdoors, but a calm companion indoors. It is sensitive and gentle, very good with children, and responsive to commands. It is reserved with strangers. One of the most courageous of the retrievers, it is nonetheless quite sensitive. It makes an ideal partner for an active, outdoor-oriented person who also wants a loyal family companion."
dandie dinmont,"Unlike the prototypical terrier, the Dandie is made up of a series of curves, topped off with a long, scimitar-shaped tail. It is almost twice as long as tall, constructed to go to ground after tough quarry. Its hind legs are definitely longer than its front legs. Its gait is free and easy. It has a distinctive coat made up of about two-thirds hardish (not wiry) hair and one-third soft hair, about 2 inches in length. The head is covered with soft, silky hair, lending to the appearance of a large head. The topknot also enhances the expression, which is determined, dignified, soft and wise.The Dandie Dinmont is no ""dandified"" dog; it is rough-and-tumble and ready for the hunt. Yet it functions well as a dignified house pet, affectionate but not doting. It is a loyal companion suitable for people of all ages, but it does need daily exercise to keep it from becoming frustrated. It is intelligent and very independent. It tends to be reserved with strangers and aggressive toward strange dogs. Some dig."
dhole,"The dhole (also known as the Asiatic Wild Dog, Indian Wild Dog and the Red Dog) is an endangered wild dog native to the jungles of Asia. Although the dhole is very similar in appearance to the African Wild dog and the Bush dog, the dhole is the only member of it's genus."
dingo,"The 'dingo"" (Canis dingo) is a wild canine found in Australia. Its exact ancestry is unknown, but dingoes are classified as their own unique canine species. The dingo is the largest terrestrial predator in Australia, and plays an important role as an apex predator. However, the dingo is seen as a pest by livestock farmers due to attacks on animals. Conversely, their predation on rabbits, kangaroos and rats may be of benefit to graziers.The Dingo has intense eyes that vary in color from yellow to orange. The very mobile, small, rounded ears are naturally erect. The well furred, appearing bushy, tail is relaxed and has good length. The hindquarters are lean and muscular. The coat is soft. Its length, density, and texture vary according to climate. Typical coat colors are yellow-ginger, but can occur in tan, black or white, including an occasional brindle; albinos have also been seen. All purebred Dingoes have white hair on their feet and tail tip. Unlike most other breeds, Dingoes do not have dewclaws."
doberman,"The Doberman Pinscher was developed in Germany during the late 19th century, primarily as a guard dog. His exact ancestry is unknown, but he's believed to be a mixture of many dog breeds, including the Rottweiler, Black and Tan Terrier, and German Pinscher. With his sleek coat, athletic build, and characteristic cropped ears and docked tail, the Doberman Pinscher looks like an aristocrat. He is a highly energetic and intelligent dog, suited for police and military work, canine sports, and as a family guardian and companion."
english foxhound,"The breed standards' guidelines for showing English Foxhounds requires them to be 21 inches (53 cm) tall at the withers. The skull is wide and the muzzle is long. The legs are muscular, straight-boned, and the paws are rounded, almost cat-like. The English Foxhound comes in any hound color, most often tricolor, tan, red, or black with a white base.Traditionally a pack hound, the English foxhound nonetheless makes a stately house dog, as long as it has human or canine companionship. It gets along well with horses, dogs, children and other pets. It is an avid sniffer and trailer, however, and needs daily exercise in a safe area. It is a tolerant, amiable and gentle dog, even though it is not very demonstrative. Most are reserved with strangers. It is not well-suited for city life. It bays."
english setter,"The English setter is an elegant and athletic hunting dog with the ability to run tirelessly at a good pace. Its trot is ground-covering and effortless, with the head held proudly and a lively tail. The coat is flat, with feathering on the ears, underside, backs of legs, underside of thighs, and tail. Its markings are distinctive, consisting of flecks of color, sometimes with patches, on a white background. The combination of good looks and hunting ability make the English setter a perfect gentleman's hunting companion. The Laveracks tend to be larger, carry more feathering, often have deeper muzzles and usually hold their tails nearly level when on point. The Llewellins tend to be smaller and faster, with less coat and often larger patches of color. They tend to hold their tails straight up when on point.Bred to cover a lot of area when hunting, the English setter is a lively dog that loves to hunt and run. This is especially true of dogs from field lines. If not given sufficient exercise, they can be overly lively inside. With daily exertion, however, they are calm and tractable house dogs. Those from conformation lines are particularly laid-back and gentle and excel with children and less active adults. This is an amiable, easygoing breed that gets along well with children, strangers and other dogs."
english springer,"The English Springer Spaniel dog breed was developed as a gun dog to flush, or spring, game in the field, but he's also a popular companion. Athletic and versatile, he's been known to participate in agility, hunt tests, tracking, obedience trials and more, and he's a great pal to have along when you go hiking or camping."
entlebucher,"The Entlebucher Mountain Dog has the independent spirit of other herding breeds, but still relishes spending time with his people especially if they give him a job to do. He can be territorial and will bark to warn you of visitors."
eskimo dog,"Called the dog beautiful by his admirers, the American Eskimo Dog, or Eskie, is a striking fellow with his white coat, sweet expression, and black eyes. He's a Nordic dog breed, a member of the Spitz family. Eskies are lively, active companion dogs who love to entertain and join in on all family activities. They are outgoing and friendly with family and friends, but reserved with strangers. Although the Eskie is a small dog 10 to 30 pounds he has a big-dog attitude."
flat-coated retriever,"""Power without lumber and raciness without weediness"" is the traditional description of the flat-coated retriever. It is strong but elegant, never cobby, among the most streamlined of the retrievers. It is slightly longer than tall, of moderate substance. The head is distinctive, long and of ""one piece,"" all parts flowing smoothly into each other. The gait is ground-covering, smooth and efficient. The coat is thick and flat, of only moderate length, providing protection without adding weight. These attributes have resulted in a versatile and athletic hunter capable of retrieving over land and water.The flat-coated retriever is a sweet, exuberant, lively dog that loves to play and retrieve. It is on the go outdoors, but quiet indoors. This breed is among the most devoted and companionable of dogs, a true family dog. It needs regular exercise to be on its best behavior, however. It is a sensitive breed and very responsive to training. Its hallmark is its wagging tail."
french bulldog,"The French Bulldog has enjoyed a long history as a companion dog. Created in England to be a miniature Bulldog, he accompanied English lacemakers to France, where he acquired his Frenchie moniker. Besides being a companion, he once served as an excellent ratter, but today his job focuses on being a fabulous family friend and show dog. He's a rare dog breed, so expect to put in some time on a waiting list before you're able to bring one home."
german shepherd,"The German Shepherd Dog is one of America's most popular dog breeds for good reason. He's an intelligent and capable working dog. His devotion and courage are unmatched. And he's amazingly versatile, excelling at most anything he's trained to do: guide and assistance work for the handicapped, police and military service, herding, search and rescue, drug detection, competitive obedience and, last but not least, faithful companion."
german short-haired pointer,"The shorthaired is an all-purpose close-working gun dog that combines agility, power and endurance. It is square or slightly longer than tall; although it has a short back, it should stand over plenty of ground. It should have a clean-cut head, graceful outline, strong quarters and an athletic physique. The gait is smooth, light and ground-covering. The coat is short and tough.The German shorthaired pointer's idea of heaven is a day hunting in the field and an evening curled up by its owner's side. This is an active dog that can become frustrated and ""creative"" if not given ample daily exercise, both mental and physical. It is a devoted family pet, although at times it is overly boisterous for small children. Because part of its heritage includes hunting mammals, some can be aggressive to small pets unless raised with them. It is a sensitive breed, responsive to gentle training. Some can whine or bark a lot."
giant schnauzer,"This is a larger, more powerful version of the standard schnauzer. Its body is strong, compact and nearly square, combining great power with agility. Its stride is free and vigorous, with good reach and drive. Its double coat consists of a soft undercoat and a harsh, wiry, dense outer coat a combination that enables it to withstand harsh, alpine conditions. Its hallmark harsh beard and eyebrows, coupled with its smart outline, make for a striking figure. The combination of rugged build, reliable temperament and weather-resistant coat make for a powerful and versatile worker.The playful, rambunctious giant schnauzer may be too boisterous for small children, even though it is otherwise very good with children in its own family. It is bold and protective of its family and reserved with strangers. It may be aggressive toward other dogs. This intelligent and exuberant breed is a good choice for an active person wanting a partner in adventure, although at times the giant may try to be the leader."
golden retriever,"The Golden Retriever is a medium-sized, well-balanced dog with a distinctive golden-colored coat; small, drop ears; and a natural tail carried level with the back or with a slight upward curve. The correct relationship of length of body to height is 12:11. The Golden Retriever is a dog without exaggeration. The Golden Retriever should be evaluated as a working gun dog, and exaggerations or faults should be penalized in proportion to how much they interfere with the dog's ability to work.The breed's most readily identifiable characteristic is its rich, lustrous golden color. Another essential characteristic is proper temperament. A Golden Retriever is friendly, calm, compliant and compatible with people and other dogs. Goldens are particularly good with children. The Golden Retriever's friendly temperament is reflected in his kindly expression. The Golden Retriever is a powerfully built dog, with a good nose for tracking, a soft mouth, and an eagerness to learn."
gordon setter,"The heaviest of the setters, the Gordon is sturdily built with plenty of substance and bone. The suggestion should be one of strength and stamina rather than speed. It is square-proportioned, upstanding and stylish. The gait is bold, smooth and effortless, with head carried proudly and tail constantly flagging. The Gordon setter carries a thicker coat than the other setters. The hair is straight or slightly wavy, always soft and shiny. Longer feathering is on the ears, underside, backs of legs, and tail. The whole impression should be of a rugged dog capable of withstanding a long, active day in the field under a variety of conditions.The Gordon setter is a capable, close-working bird dog. It can run and hunt all day, and this kind of energy needs a regular outlet or the dog is apt to become frustrated. Gordons make lively, enthusiastic companions and need the company of lively people. Somewhat more protective than the other setters, they are reserved toward strangers and sometimes aggressive toward strange dogs. The Gordon has earned its reputation as a devoted family dog."
great dane,"This regal breed combines great size and power with elegance. It is square-proportioned and well-balanced. Its gait is strong and powerful with long, easy strides. These attributes are necessary in a dog required to overtake and then over-power relatively swift but formidable quarry. Its coat is short, thick and glossy. The Great Dane is most noteworthy for its majestic carriage and appearance the ""Apollo of Dogs.""The Great Dane is gentle, loving, easygoing and sensitive. It is generally good with children (although its friendly overtures may overwhelm a small child) and usually friendly toward other dogs and pets. It is powerful but sensitive and responsive to training. It makes a pleasant, well-mannered family companion."
great pyrenees,"Elegant, imposing and majestic, the Great Pyrenees is a large dog of medium substance that is slightly longer than tall. Its thick coat gives the impression of heavier bone and stature. This breed was developed to guard flocks on steep mountain slopes and so must combine strength with agility. It moves smoothly, with good reach and drive. Its weather-resistant double coat consists of a dense, wooly undercoat and a long, flat, coarse outer coat, imparting great insulation from the Pyrenean cold. Its expression is elegant and contemplative.The Great Pyrenees is a capable and imposing guardian, devoted to its family and somewhat wary of strangers human or canine. When not provoked, it is calm, well-mannered and somewhat serious. It is very gentle with its family and children. It has an independent, somewhat stubborn, nature and may try to dominate a less secure owner. Some are not good off leash and may wander away. The Great Pyrenees tends to bark a lot."
greater swiss mountain dog,"This is a strong draft breed. It is large and powerful, slightly longer than tall. Its movement displays good reach and drive. Its double coat consists of a thick undercoat and dense outer coat, about 1 inches long. Its expression is gentle and animated.The Greater Swiss mountain dog is a sensitive, loyal and extremely devoted family companion. It is calm and easygoing, very gentle with children as well as other pets. It is territorial, alert, bold and vigilant."
groenendael,"The Belgian Shepherd Groenendael is a light, graceful, square-built dog covered in a long, straight, solid-black coat. It has a powerful, flat-topped head with a pointed muzzle, black nose and triangle-shaped ears that point straight up. Its dark brown eyes have an alert and clever expression. The Groenendael has a thick neck, level back and a low-hanging tail. Overall, the Belgian Shepherd Groenendael exudes strength without stockiness."
ibizan hound,"The Ibizan should possess deer-like elegance and expression, and its movement should reflect these qualities. Its lithe build enables it to perform the double-suspension gallop with great speed, agility and endurance. It is a superb jumper, able to spring to great heights from a standstill. It is racy, slightly longer than tall. With the exception of its large ears, it should not be exaggerated in any way. The trot is light and graceful. The coat can be hard, either short or wire the latter should be from 1 to 3 inches in length.The graceful Ibizan hound retains great hunting instinct, using its acute senses of hearing and smell to locate small animals, and relishing the opportunity to chase anything that moves. Unlike most sighthounds, it barks when chasing. It is reserved with strangers; some can be timid. It is gentle, mild-mannered, even-tempered and loyal, and makes a quiet, trustworthy house pet."
irish setter,"Among the most breathtaking of dogs, the Irish setter's beauty is in part the result of necessity. Its elegant, yet substantial build enables it to hunt with speed and stamina. Its build is slightly longer than tall, giving ample room for movement without interference between fore and hind legs. The trot is ground-covering and efficient. The coat is flat, straight and of moderate length, with longer feathering on ears, backs of legs, belly, chest and tail, providing protection from briars without becoming entangled in them. The rich mahogany color is just beautiful.The Irish setter was bred to be a tireless and enthusiastic hunter, and it approaches everything in life with a rollicking, good-natured attitude, full of gusto and fervor. Given a daily outlet for its energy, it makes a pleasant companion. Without ample exercise, it can be overly active inside or become frustrated. It is an amiable breed, eager to please and be part of its family's activities. It is good with children, but can be too rambunctious for small children. It is less popular as a hunter than the other setters."
